Country,State,Route,Year,Aou,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
840,55,027,1970,07520,0,0,0,0,4,1,4
840,55,027,2002,06330,0,0,0,0,1,1,1
840,55,027,2007,06330,0,0,0,1,0,1,1
840,55,029,1995,07120,1,0,0,0,0,1,1
840,55,029,1997,07120,2,0,0,0,0,1,2
840,55,029,2006,07120,0,2,0,0,0,2,2
840,55,029,2009,07520,0,1,0,0,0,1,1
840,55,029,2012,07520,0,1,0,0,0,1,1
840,55,029,2015,07520,0,1,0,0,0,1,1
840,55,029,2017,07520,0,1,0,1,0,2,2
840,55,030,1972,07520,0,0,2,0,0,2,2
840,55,030,1973,07520,0,0,0,1,0,1,1
840,55,031,1986,07520,0,0,2,2,0,2,4
840,55,031,1991,07460,0,0,1,0,0,1,1
840,55,031,1992,07520,0,0,3,0,0,2,3
840,55,031,1993,07520,0,0,1,0,3,2,4
840,55,031,1996,07520,0,0,1,0,0,1,1
840,55,031,1997,07520,0,2,0,0,0,1,2
840,55,031,2000,07520,0,0,7,8,0,5,15
840,55,031,2001,07520,0,3,2,5,0,5,10
840,55,031,2005,07520,0,2,0,1,3,6,6
840,55,031,2006,07460,0,0,0,1,0,1,1
840,55,031,2007,07520,0,0,0,0,1,1,1
840,55,031,2010,07520,0,0,1,2,0,2,3
840,55,031,2011,07520,0,0,3,0,0,3,3
840,55,031,2012,07520,0,0,1,0,0,1,1
840,55,031,2013,07520,0,0,2,1,1,3,4
840,55,031,2014,07520,0,1,0,1,0,2,2
840,55,031,2016,07460,0,0,0,0,1,1,1
840,55,031,2017,07460,0,0,1,0,0,1,1
840,55,031,2018,07520,1,0,0,2,0,2,3
840,55,032,1973,07120,1,0,3,0,0,4,4
840,55,032,1973,07520,3,0,0,2,0,4,5
840,55,032,1975,07120,3,0,0,0,3,4,6
840,55,032,1976,07120,1,0,0,0,0,1,1
840,55,032,1993,07460,0,0,0,1,0,1,1
840,55,032,1993,07520,0,0,0,0,3,2,3
840,55,032,1995,07120,1,0,0,0,0,1,1
840,55,032,2008,07460,0,0,0,1,0,1,1
840,55,032,2010,07120,1,0,0,0,0,1,1
840,55,033,1995,07520,1,0,0,0,0,1,1
840,55,033,1996,07460,5,0,0,1,0,4,6
840,55,033,1996,07520,0,0,1,0,0,1,1
840,55,033,1997,07460,2,2,0,0,0,3,4
840,55,033,2000,07120,0,0,1,0,0,1,1
840,55,033,2000,07460,1,1,1,0,2,5,5
840,55,033,2001,07520,0,1,1,1,0,3,3
840,55,033,2002,06330,1,0,0,0,0,1,1
840,55,033,2002,07460,10,17,0,1,0,10,28
840,55,033,2002,07520,2,2,0,1,2,6,7
840,55,033,2003,07460,2,2,1,1,0,5,6
840,55,033,2003,07520,1,2,0,0,2,3,5
840,55,033,2004,07460,2,0,0,0,0,2,2
840,55,033,2004,07520,4,1,0,0,0,3,5
840,55,033,2006,07460,0,0,0,1,2,2,3
840,55,033,2006,07520,1,1,1,1,0,4,4
840,55,033,2007,07460,0,2,0,2,0,2,4
840,55,033,2007,07520,2,1,0,0,0,2,3
840,55,033,2008,07460,0,0,2,2,0,3,4
840,55,033,2008,07520,1,3,0,0,0,3,4
840,55,033,2009,07460,2,6,0,2,2,6,12
840,55,033,2009,07520,0,1,1,0,0,2,2
840,55,033,2010,07460,0,0,1,2,0,3,3
840,55,033,2010,07520,2,1,2,0,0,3,5
840,55,033,2011,07460,0,1,0,0,0,1,1
840,55,033,2011,07520,1,3,0,0,0,3,4
840,55,033,2012,07520,2,2,1,0,0,4,5
840,55,033,2013,07520,4,0,0,0,0,2,4
840,55,033,2014,07520,3,1,1,0,0,4,5
840,55,033,2015,07460,3,1,0,0,0,4,4
840,55,033,2016,07460,0,1,3,1,0,4,5
840,55,033,2016,07520,0,4,0,0,0,1,4
840,55,033,2017,07460,3,0,0,0,0,2,3
840,55,033,2017,07520,2,0,0,0,0,1,2
840,55,033,2018,07120,0,0,1,0,0,1,1
840,55,033,2018,07520,0,4,0,1,0,3,5
840,55,130,1990,07120,0,1,0,0,0,1,1
840,55,130,2006,07120,1,0,1,1,0,3,3
840,55,130,2010,07520,0,0,1,0,0,1,1
840,55,130,2011,07520,0,2,1,1,0,3,4
840,55,906,1993,07120,0,0,1,0,0,1,1
840,55,906,1993,07460,1,1,2,0,0,4,4
840,55,906,1994,06330,1,0,0,0,0,1,1
840,55,906,1994,07120,0,1,0,0,0,1,1
840,55,906,1994,07460,2,3,2,0,0,6,7
840,55,906,1995,06330,1,0,0,0,0,1,1
840,55,906,1995,07120,0,2,0,0,0,2,2
840,55,906,1995,07460,1,1,3,0,0,4,5
840,55,906,1996,06330,1,0,0,0,0,1,1
840,55,906,1996,07460,0,3,1,0,0,3,4
840,55,906,1997,07120,0,0,1,0,0,1,1
840,55,906,1997,07460,1,2,2,0,0,4,5
840,55,906,1998,07120,0,0,1,0,0,1,1
840,55,906,1998,07460,2,1,3,0,0,6,6
840,55,906,1999,07120,0,2,1,0,0,3,3
840,55,906,1999,07460,3,6,6,0,0,11,15
840,55,906,2000,06330,1,0,0,0,0,1,1
840,55,906,2000,07120,0,0,1,0,0,1,1
840,55,906,2000,07460,2,3,5,0,0,9,10
840,55,906,2001,07120,0,2,2,0,0,4,4
840,55,906,2001,07460,4,4,8,0,0,14,16
840,55,906,2002,07120,0,0,2,0,0,2,2
840,55,906,2002,07460,3,4,6,0,0,10,13
840,55,906,2005,07120,0,1,0,0,0,1,1
840,55,906,2005,07460,0,1,0,0,0,1,1
840,55,906,2006,07120,1,3,0,0,0,2,4
840,55,906,2006,07460,0,2,2,0,0,3,4
840,55,906,2006,07520,2,1,1,0,0,4,4
840,55,906,2007,07120,1,2,0,0,0,3,3
840,55,906,2007,07460,4,0,2,0,0,6,6
840,55,906,2008,07460,0,2,1,0,0,3,3
840,55,906,2009,06330,0,0,1,0,0,1,1
840,55,906,2009,07120,1,0,0,0,0,1,1
840,55,906,2009,07460,2,3,5,0,0,9,10
840,55,906,2010,07460,0,1,3,0,0,4,4
840,55,906,2011,07460,0,1,0,0,0,1,1
840,55,906,2012,07120,1,0,0,0,0,1,1
840,55,906,2012,07460,2,1,1,0,0,3,4
840,55,906,2013,07460,0,1,0,0,0,1,1
840,55,906,2014,07460,3,3,1,0,0,6,7
840,55,906,2015,06330,0,0,1,0,0,1,1
840,55,906,2015,07460,3,4,3,0,0,6,10
840,55,906,2016,07460,0,2,1,0,0,3,3
840,55,906,2017,07120,1,0,0,0,0,1,1
840,55,906,2017,07460,1,0,2,0,0,3,3
840,55,906,2018,07460,1,4,3,0,0,7,8
840,55,908,1996,06330,0,0,0,3,7,9,10
840,55,908,1996,07460,0,0,0,0,4,2,4
840,55,908,1997,06330,0,0,0,0,4,3,4
840,55,908,1997,07460,0,0,0,0,3,1,3
840,55,908,1998,06330,0,0,0,0,3,2,3
840,55,908,1999,06330,0,0,0,0,1,1,1
840,55,908,1999,07460,0,0,0,1,0,1,1
840,55,908,2000,06330,0,0,0,0,2,1,2
840,55,908,2000,07460,0,0,0,0,1,1,1
840,55,908,2001,06330,0,0,0,1,0,1,1
840,55,908,2016,06330,0,0,0,0,2,1,2
840,55,908,2017,06330,0,1,0,0,1,2,2
840,55,908,2018,06330,0,0,0,0,1,1,1
