Country,state,route,year,month,day,Obs,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,assistant,RunType
840,55,027,1970,6,12,       1040101,35,54,73,F,1,1,0,0,0450,0945,0,1
840,55,027,2002,5,31,       1160201,27,20,36,C,2,0,0,1,0500,0919,0,1
840,55,027,2007,5,24,       1160201,35,58,82,F,2,0,0,1,0456,1007,0,1
840,55,029,1995,5,20,       1120129,14,60,92,F,2,0,0,0,0457,0940,0,1
840,55,029,1997,5,16,       1120129,10,59,82,F,2,0,0,1,0457,0924,0,1
840,55,029,2006,5,25,       1090975,19,63,93,F,3,1,0,0,0457,1055,0,1
840,55,029,2009,5,21,       1090975,13,62,86,F,4,3,0,1,0457,1028,0,1
840,55,029,2012,5,30,       1090975,14,57,84,F,2,0,0,0,0457,1014,0,1
840,55,029,2015,5,17,        981412,16,54,62,F,1,3,1,1,0457,0730,0,0
840,55,029,2017,6,9,        981412,27,65,95,F,1,1,0,0,0507,1021,0,1
840,55,030,1972,6,15,       1060045,10,60,85,F,1,1,0,0,0453,0911,0,1
840,55,030,1973,6,13,       1060045,13,62,78,F,0,3,1,2,0453,0924,0,1
840,55,031,1986,5,13,       1120129,8,56,84,F,1,3,0,0,0449,0919,0,1
840,55,031,1991,6,1,       1120129,14,50,74,F,0,0,2,1,0449,0918,0,1
840,55,031,1992,5,23,       1120129,15,63,81,F,0,0,0,1,0449,0912,0,1
840,55,031,1993,5,29,       1120129,15,62,86,F,1,2,0,0,0449,0930,0,1
840,55,031,1996,5,28,       1120129,14,64,85,F,0,0,1,1,0545,0935,0,0
840,55,031,1997,5,31,       1120129,11,77,100,F,0,2,0,0,0500,0900,0,1
840,55,031,2000,5,29,       1150835,11,78,116,F,2,3,1,0,0510,1000,0,1
840,55,031,2001,5,19,       1150835,14,70,80,F,0,1,0,2,0510,0941,0,1
840,55,031,2005,5,25,       1151156,20,65,90,F,0,2,0,0,0449,0934,0,1
840,55,031,2006,5,10,       1151156,13,60,80,F,0,3,0,0,0449,0944,0,1
840,55,031,2007,5,29,       1151156,10,68,95,F,0,1,0,0,0449,0943,0,1
840,55,031,2010,5,21,       1070375,18,70,86,F,1,1,0,0,0449,0909,0,1
840,55,031,2011,5,19,       1070375,20,60,68,F,0,1,2,0,0445,0905,0,1
840,55,031,2012,5,29,       1070375,15,69,82,F,1,1,0,0,0450,0855,0,1
840,55,031,2013,5,29,       1070375,17,70,75,F,2,3,1,0,0449,0830,0,1
840,55,031,2014,5,19,       1070375,16,70,85,F,2,1,2,0,0449,0840,0,1
840,55,031,2016,5,13,       1070375,18,64,75,F,0,1,0,0,0453,0945,0,1
840,55,031,2017,5,24,       1070375,12,68,86,F,1,1,0,0,0445,0817,0,1
840,55,031,2018,5,14,       1070375,19,59,83,F,1,2,1,0,0449,0853,0,1
840,55,032,1973,5,14,       1090184,26,76,79,F,0,3,2,2,0458,0919,0,1
840,55,032,1975,6,30,        980231,15,67,75,F,2,2,0,0,0457,0905,0,1
840,55,032,1976,6,2,        980231,15,64,76,F,2,0,0,0,0456,0855,0,1
840,55,032,1993,5,26,        990297,20,70,75,F,1,2,1,1,0456,0845,0,1
840,55,032,1995,5,6,        990297,18,50,50,F,2,2,2,2,0456,0845,0,1
840,55,032,2008,5,6,       1070375,23,66,76,F,1,2,0,0,0510,1038,0,1
840,55,032,2010,5,14,       1070375,24,60,71,F,0,3,0,0,0515,0925,0,1
840,55,033,1995,5,20,       1120323,25,69,92,F,2,3,0,0,0545,1039,0,0
840,55,033,1996,5,5,       1120323,26,68,90,F,0,2,0,0,0600,1107,0,0
840,55,033,1997,4,20,       1120323,26,63,86,F,1,3,1,1,0530,1035,1,0
840,55,033,2000,6,11,       1120323,27,68,88,F,0,3,0,0,0510,0955,1,1
840,55,033,2001,4,29,       1120323,24,66,95,F,1,3,0,0,0605,1032,1,0
840,55,033,2002,5,5,       1120323,26,62,82,F,0,2,0,0,0540,1113,1,0
840,55,033,2003,5,4,       1120323,23,54,81,F,1,2,0,1,0540,1217,0,0
840,55,033,2004,5,2,       1120323,34,62,89,F,1,1,0,0,0530,1159,0,0
840,55,033,2006,5,7,       1120323,32,63,83,F,0,1,0,0,0454,1032,0,1
840,55,033,2007,5,13,       1120323,28,68,88,F,0,3,0,1,0520,0942,0,1
840,55,033,2008,5,11,       1120323,25,63,86,F,0,3,0,0,0537,1045,0,0
840,55,033,2009,4,30,       1120323,24,69,85,F,1,3,0,0,0510,1039,0,1
840,55,033,2010,5,1,       1120323,29,65,70,F,1,1,1,0,0500,1045,1,1
840,55,033,2011,4,27,       1120323,24,53,63,F,1,3,0,0,0455,1038,0,1
840,55,033,2012,5,6,       1120323,20,64,78,F,0,2,0,0,0455,0920,0,1
840,55,033,2013,5,4,       1120323,21,58,81,F,0,3,0,0,0455,1042,0,1
840,55,033,2014,5,12,       1120323,18,64,81,F,0,2,0,0,0455,0914,0,1
840,55,033,2015,6,6,       1120323,22,65,83,F,0,1,0,0,0450,1020,0,1
840,55,033,2016,5,7,       1120323,28,59,69,F,2,3,1,5,0507,1109,0,1
840,55,033,2017,4,30,       1120323,26,64,75,F,2,3,0,1,0520,1058,0,1
840,55,033,2018,4,28,       1120323,21,68,84,F,1,3,0,0,0535,1145,1,1
840,55,130,1990,5,3,        990297,15,58,72,F,0,3,0,0,0453,0925,0,1
840,55,130,2006,5,19,       1180128,16,70,95,F,1,2,1,1,0453,0955,0,1
840,55,130,2010,6,5,       1000581,11,75,93,F,0,1,0,0,0453,1032,1,1
840,55,130,2011,6,7,       1000581,16,51,79,F,2,1,0,0,0453,1030,0,1
840,55,906,1993,5,18,       1150632,39,70,80,F,2,2,2,2,0458,0916,0,0
840,55,906,1994,5,26,       1150632,45,60,75,F,0,2,0,0,0500,0908,0,0
840,55,906,1995,5,24,       1150632,47,55,60,F,0,1,1,1,0457,0933,0,0
840,55,906,1996,5,17,       1150632,38,60,75,F,1,2,1,1,0457,0909,0,0
840,55,906,1997,5,16,       1150632,36,62,80,F,1,2,0,0,0457,0930,0,0
840,55,906,1998,5,19,       1150632,41,62,72,F,0,2,0,0,0457,0929,0,0
840,55,906,1999,5,22,       1150632,43,68,87,F,1,2,0,1,0500,0935,0,0
